velocity_threshold,angle_threshold,ratio_threshold,min_event_frames,accuracy,sensitivity_fall_recall,specificity_not_fall_recall,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,tn,fp,fn,tp
332.5817,45.0,1.0,1,0.5109489051094891,0.111358574610245,0.9919571045576407,0.7122702848590426,0.5516578395839429,0.4235945883715575,0.9433962264150944,0.111358574610245,0.199203187250996,0.4811443433029909,0.9919571045576407,0.647985989492119,370,3,399,50
342.084,45.0,1.0,1,0.5085158150851582,0.10690423162583519,0.9919571045576407,0.7105363546196689,0.549430668091738,0.4194265734265734,0.9411764705882353,0.10690423162583519,0.192,0.4798962386511025,0.9919571045576407,0.6468531468531469,370,3,401,48
350.8615,45.0,1.0,1,0.5072992700729927,0.10467706013363029,0.9919571045576407,0.7096373056994818,0.5483170823456355,0.4173324815570004,0.94,0.10467706013363029,0.18837675350701402,0.4792746113989637,0.9919571045576407,0.6462882096069869,370,3,402,47
351.5863,45.0,1.0,1,0.5072992700729927,0.10467706013363029,0.9919571045576407,0.7096373056994818,0.5483170823456355,0.4173324815570004,0.94,0.10467706013363029,0.18837675350701402,0.4792746113989637,0.9919571045576407,0.6462882096069869,370,3,402,47
361.0887,45.0,1.0,1,0.5048661800486618,0.10022271714922049,0.9919571045576407,0.7077680878552972,0.5460899108534306,0.41312390471863436,0.9375,0.10022271714922049,0.18108651911468812,0.4780361757105943,0.9919571045576407,0.6451612903225806,370,3,404,45
370.591,45.0,1.0,1,0.5012165450121655,0.0935412026726058,0.9919571045576407,0.7047619047619047,0.5427491536151232,0.4067593733497623,0.9333333333333333,0.0935412026726058,0.1700404858299595,0.47619047619047616,0.9919571045576407,0.6434782608695652,370,3,407,42
380.0933,45.0,1.0,1,0.49878345498783455,0.08908685968819599,0.9919571045576407,0.7026002328566737,0.5405219821229184,0.40248136856368566,0.9302325581395349,0.08908685968819599,0.16260162601626016,0.4749679075738126,0.9919571045576407,0.6423611111111112,370,3,409,40
389.5957,45.0,1.0,1,0.49635036496350365,0.08463251670378619,0.9919571045576407,0.7002904344024234,0.5382948106307135,0.3981749372192551,0.926829268292683,0.08463251670378619,0.15510204081632653,0.4737516005121639,0.9919571045576407,0.6412478336221837,370,3,411,38
399.098,45.0,1.0,1,0.4951338199513382,0.08240534521158129,0.9919571045576407,0.6990728900255755,0.5371812248846111,0.39601094202321196,0.925,0.08240534521158129,0.15132924335378323,0.4731457800511509,0.9919571045576407,0.6406926406926406,370,3,412,37
408.6003,45.0,1.0,1,0.49391727493917276,0.0801781737193764,0.9919571045576407,0.6978092150505943,0.5360676391385085,0.3938396959555278,0.9230769230769231,0.0801781737193764,0.14754098360655737,0.4725415070242657,0.9919571045576407,0.6401384083044983,370,3,413,36
418.1027,45.0,1.0,1,0.49148418491484186,0.0757238307349666,0.9919571045576407,0.6951282492683767,0.5338404676463037,0.3894752553359347,0.918918918918919,0.0757238307349666,0.13991769547325103,0.4713375796178344,0.9919571045576407,0.6390328151986183,370,3,415,34
427.605,45.0,1.0,1,0.48905109489051096,0.07126948775055679,0.9919571045576407,0.6922127427845344,0.5316132961540988,0.3850812197207182,0.9142857142857143,0.07126948775055679,0.1322314049586777,0.4701397712833545,0.9919571045576407,0.6379310344827587,370,3,417,32
437.1073,45.0,1.0,1,0.4854014598540146,0.0645879732739421,0.9919571045576407,0.6873022151898734,0.5282725389157914,0.3784337945988849,0.90625,0.0645879732739421,0.12058212058212059,0.46835443037974683,0.9919571045576407,0.6362854686156492,370,3,420,29
446.6097,45.0,1.0,1,0.48418491484184917,0.062360801781737196,0.9919571045576407,0.6854940663105094,0.527158953169689,0.37620274914089347,0.9032258064516129,0.062360801781737196,0.11666666666666667,0.46776232616940583,0.9919571045576407,0.6357388316151202,370,3,421,28
456.112,45.0,1.0,1,0.4805352798053528,0.0556792873051225,0.9919571045576407,0.6794260525368838,0.5238181959313816,0.3694631722472824,0.8928571428571429,0.0556792873051225,0.10482180293501048,0.4659949622166247,0.9919571045576407,0.6341045415595544,370,3,424,25
459.2657,45.0,1.0,1,0.4805352798053528,0.0556792873051225,0.9919571045576407,0.6794260525368838,0.5238181959313816,0.3694631722472824,0.8928571428571429,0.0556792873051225,0.10482180293501048,0.4659949622166247,0.9919571045576407,0.6341045415595544,370,3,424,25
465.6143,45.0,1.0,1,0.4805352798053528,0.0556792873051225,0.9919571045576407,0.6794260525368838,0.5238181959313816,0.3694631722472824,0.8928571428571429,0.0556792873051225,0.10482180293501048,0.4659949622166247,0.9919571045576407,0.6341045415595544,370,3,424,25
475.1167,45.0,1.0,1,0.4793187347931874,0.053452115812917596,0.9919571045576407,0.6771488469601676,0.5227046101852791,0.3672009899850351,0.8888888888888888,0.053452115812917596,0.10084033613445378,0.46540880503144655,0.9919571045576407,0.6335616438356164,370,3,425,24
484.619,45.0,1.0,1,0.4781021897810219,0.051224944320712694,0.9919571045576407,0.6747197526091998,0.5215910244391767,0.3649308900995002,0.8846153846153846,0.051224944320712694,0.0968421052631579,0.4648241206030151,0.9919571045576407,0.6330196749358425,370,3,426,23
494.1213,45.0,1.0,1,0.4781021897810219,0.04899777282850779,0.9946380697050938,0.6907894736842105,0.5218179212668008,0.36333485591722436,0.9166666666666666,0.04899777282850779,0.09302325581395349,0.4649122807017544,0.9946380697050938,0.6336464560204953,371,2,427,22
503.6237,45.0,1.0,1,0.4781021897810219,0.04899777282850779,0.9946380697050938,0.6907894736842105,0.5218179212668008,0.36333485591722436,0.9166666666666666,0.04899777282850779,0.09302325581395349,0.4649122807017544,0.9946380697050938,0.6336464560204953,371,2,427,22
513.126,45.0,1.0,1,0.4768856447688564,0.0467706013363029,0.9946380697050938,0.6886869456385699,0.5207043355206984,0.3610444264476196,0.9130434782608695,0.0467706013363029,0.08898305084745763,0.4643304130162703,0.9946380697050938,0.6331058020477816,371,2,428,21
522.6283,45.0,1.0,1,0.47566909975669097,0.044543429844097995,0.9946380697050938,0.6864204545454545,0.519590749774596,0.35874587996372737,0.9090909090909091,0.044543429844097995,0.08492569002123142,0.46375,0.9946380697050938,0.6325660699062233,371,2,429,20
532.1307,45.0,1.0,1,0.4720194647201946,0.0378619153674833,0.9946380697050938,0.6783771383627187,0.5162499925362886,0.3518009768009768,0.8947368421052632,0.0378619153674833,0.07264957264957266,0.46201743462017436,0.9946380697050938,0.6309523809523809,371,2,432,17
541.633,45.0,1.0,1,0.4683698296836983,0.028953229398663696,0.9973190348525469,0.6944837340876945,0.5131361321256053,0.34306505267893556,0.9285714285714286,0.028953229398663696,0.056155507559395246,0.4603960396039604,0.9973190348525469,0.6299745977984759,372,1,436,13
551.1353,45.0,1.0,1,0.4659367396593674,0.024498886414253896,0.9973190348525469,0.6879629629629629,0.5109089606334004,0.3383159473598319,0.9166666666666666,0.024498886414253896,0.04772234273318872,0.45925925925925926,0.9973190348525469,0.628909551986475,372,1,438,11
560.6377,45.0,1.0,1,0.4659367396593674,0.024498886414253896,0.9973190348525469,0.6879629629629629,0.5109089606334004,0.3383159473598319,0.9166666666666666,0.024498886414253896,0.04772234273318872,0.45925925925925926,0.9973190348525469,0.628909551986475,372,1,438,11
570.14,45.0,1.0,1,0.46472019464720193,0.022271714922048998,0.9973190348525469,0.6838919403654299,0.509795374887298,0.3359283196239718,0.9090909090909091,0.022271714922048998,0.043478260869565216,0.45869297163995065,0.9973190348525469,0.6283783783783784,372,1,439,10
